iter	Logloss
0	0.6757500148
1	0.6591912914
2	0.6432108482
3	0.628313036
4	0.6141649494
5	0.5991054251
6	0.5861790348
7	0.5720473954
8	0.5621978608
9	0.5506751643
10	0.5408806106
11	0.531021581
12	0.5207966775
13	0.5106767605
14	0.4996217838
15	0.4910990414
16	0.4814166133
17	0.4726141784
18	0.4648899669
19	0.456893585
20	0.4490826777
21	0.4419442615
22	0.4342190936
23	0.4299061132
24	0.4242223159
25	0.4174538105
26	0.4109567607
27	0.4052960183
28	0.3998655549
29	0.395537041
30	0.3914079371
31	0.3872541409
32	0.3831113626
33	0.3772805902
34	0.3719086735
35	0.3673634258
36	0.3643072149
37	0.360129393
38	0.3561590845
39	0.3522812211
40	0.3490758523
41	0.3448168456
42	0.3421556087
43	0.3392416857
44	0.3362539799
45	0.3336327503
46	0.3314031904
47	0.3287041761
48	0.3263165099
49	0.3232747214
50	0.3211837097
51	0.3186411006
52	0.3164432845
53	0.3140604639
54	0.3119006191
55	0.310079163
56	0.3081420141
57	0.3059942981
58	0.3043715102
59	0.3027109923
60	0.3000928018
61	0.2987998029
62	0.296694759
63	0.2947716076
64	0.2936276726
65	0.2920650783
66	0.2903330637
67	0.2886395387
68	0.2870633215
69	0.2853750346
70	0.2837233388
71	0.2821934934
72	0.2810355029
73	0.2804101614
74	0.2787864967
75	0.2775113471
76	0.2765921426
77	0.2754776949
78	0.274349026
79	0.2732329096
80	0.2721073945
81	0.2710972124
82	0.2700310661
83	0.2686675515
84	0.2676760202
85	0.2668225842
86	0.2657975118
87	0.2650257128
88	0.2641791032
89	0.2632156487
90	0.2621700654
91	0.2616317704
92	0.2609436115
93	0.2596004867
94	0.2585740651
95	0.2578872022
96	0.2571048726
97	0.2560316378
98	0.2550972504
99	0.2537019962
100	0.2526972786
101	0.2517924973
102	0.2512061898
103	0.2504951715
104	0.24993884
105	0.2492536238
106	0.2484413754
107	0.2478794776
108	0.2472626868
109	0.2468812676
110	0.2461562041
111	0.2454307909
112	0.2449632858
113	0.2445389674
114	0.2439591206
115	0.2431891169
116	0.2423924204
117	0.2420482579
118	0.2414584781
119	0.2405124245
120	0.2400026337
121	0.2393322543
122	0.2379369699
123	0.2373588102
124	0.2363002798
125	0.2355381604
126	0.2347039767
127	0.2339355094
128	0.2330583763
129	0.2320118374
130	0.2313735239
131	0.2310298681
132	0.2302854749
133	0.2298006571
134	0.2292382561
135	0.2286697165
136	0.2281350827
137	0.2273397042
138	0.2265835859
139	0.2257714322
140	0.2252647216
141	0.2245460728
142	0.2239321529
143	0.2236483903
144	0.223236829
145	0.2225588758
146	0.2221439349
147	0.221742598
148	0.2211782683
149	0.2204697562
150	0.2199598862
151	0.2195240786
152	0.2188820993
153	0.2183749507
154	0.2178229713
155	0.2172177887
156	0.2164491535
157	0.216032944
158	0.2153465674
159	0.2151431371
160	0.2149140144
161	0.2144468312
162	0.2139614732
163	0.2136894811
164	0.2134271324
165	0.2131900833
166	0.2126827741
167	0.2121267877
168	0.2115287964
169	0.2111861879
170	0.2108002691
171	0.2100228702
172	0.2097069566
173	0.2092061417
174	0.2085522285
175	0.208115319
176	0.2076191143
177	0.2073691353
178	0.2070490244
179	0.2066329768
180	0.206358026
181	0.2060782055
182	0.2055330207
183	0.2053236079
184	0.204863295
185	0.2045641532
186	0.2041027522
187	0.2035969952
188	0.2032533047
189	0.2029816268
190	0.2025407278
191	0.202146199
192	0.2018684556
193	0.201609804
194	0.201339043
195	0.2010628827
196	0.2007414426
197	0.200427821
198	0.2001444271
199	0.1997603443
200	0.1994546596
201	0.199006874
202	0.1985851848
203	0.1983648707
204	0.1979861483
205	0.1976209406
206	0.1972901099
207	0.1969757037
208	0.1966090373
209	0.1963664966
210	0.1958062333
211	0.1954522341
212	0.1951078232
213	0.1947264421
214	0.1944510223
215	0.19414896
216	0.1936652435
217	0.1932444371
218	0.1929300214
219	0.1926046879
220	0.1921556075
221	0.1917667114
222	0.1914697905
223	0.1911682092
224	0.1909077186
225	0.190548038
226	0.1902338224
227	0.1900678679
228	0.189481362
229	0.1891395841
230	0.1888988374
231	0.18859127
232	0.1882837932
233	0.1877718718
234	0.1872976135
235	0.1871541496
236	0.1868482034
237	0.1865704901
238	0.1861767563
239	0.1859216525
240	0.1856955516
241	0.1854839084
242	0.1848832962
243	0.1845585624
244	0.1842871902
245	0.1840402034
246	0.1837609287
247	0.1833720292
248	0.182879897
249	0.1824975787
250	0.1822901224
251	0.1820030818
252	0.1817876069
253	0.18154279
254	0.1811603457
255	0.1809949138
256	0.1805658055
257	0.1804045541
258	0.180124243
259	0.1797560823
260	0.1794672265
261	0.1792002879
262	0.1789808705
263	0.1787698799
264	0.1785052766
265	0.1780265769
266	0.1779632437
267	0.1777089385
268	0.1774193828
269	0.1770258156
270	0.1767120915
271	0.1763146488
272	0.1760291758
273	0.1758421064
274	0.1753799707
275	0.1751871073
276	0.1749451088
277	0.1746942184
278	0.1745653305
279	0.1741606732
280	0.1739717377
281	0.1736236802
282	0.1733226496
283	0.173015873
284	0.172636547
285	0.1723884224
286	0.1721285836
287	0.1718198593
288	0.1714212062
289	0.171062237
290	0.1707896154
291	0.170459415
292	0.1700648579
293	0.1697871193
294	0.16958665
295	0.1691302801
296	0.1690435975
297	0.1689258878
298	0.1684218486
299	0.1681189677
300	0.16782627
301	0.1675747918
302	0.1674070218
303	0.167112567
304	0.1669359361
305	0.1666266152
306	0.1663375065
307	0.1659302226
308	0.1657362103
309	0.1654814141
310	0.1653124975
311	0.1651601948
312	0.1649414607
313	0.1648157967
314	0.1645478316
315	0.1640603466
316	0.1638741667
317	0.1635904754
318	0.1632297777
319	0.1629324021
320	0.1625994901
321	0.1620901309
322	0.1617782349
323	0.1614578212
324	0.1611722169
325	0.161025496
326	0.1607003588
327	0.1605238343
328	0.1603899058
329	0.1600082074
330	0.1595311693
331	0.1593179051
332	0.1591539288
333	0.1589212591
334	0.1586767994
335	0.1583302529
336	0.1581397014
337	0.157955598
338	0.1577135438
339	0.1574402069
340	0.1573495573
341	0.1571476102
342	0.1568961783
343	0.1567222464
344	0.1563132193
345	0.1560753307
346	0.1558461465
347	0.155748867
348	0.1554102694
349	0.1552751656
350	0.1551796079
351	0.1549896702
352	0.1549220575
353	0.154665318
354	0.1545410998
355	0.1542956219
356	0.1540150576
357	0.1537885241
358	0.1536388615
359	0.1532082331
360	0.1530619974
361	0.1528081487
362	0.1525762977
363	0.152278998
364	0.1521324363
365	0.1518801246
366	0.1515313695
367	0.1513919752
368	0.1510654632
369	0.1509624076
370	0.1508179458
371	0.1505015627
372	0.1503351293
373	0.1501226865
374	0.1500219574
375	0.1498370627
376	0.1496258998
377	0.1494919436
378	0.1493199869
379	0.1491192298
380	0.1487885803
381	0.1485495369
382	0.1484247817
383	0.1482351861
384	0.1480298458
385	0.1477500187
386	0.1475828024
387	0.1474347722
388	0.1472518198
389	0.1470285352
390	0.1467711635
391	0.1465472132
392	0.1463159859
393	0.1459171903
394	0.1457329799
395	0.145546877
396	0.1453436668
397	0.1451808453
398	0.1449318118
399	0.1447326569
400	0.1446440756
401	0.1445061597
402	0.144323024
403	0.1441446931
404	0.1439151298
405	0.143719913
406	0.1435959671
407	0.1434295393
408	0.1432759791
409	0.142933392
410	0.1426575603
411	0.1423243071
412	0.1421391115
413	0.1420715844
414	0.1419912042
415	0.1418455838
416	0.141700497
417	0.141470026
418	0.1413061077
419	0.1411091652
420	0.1408383422
421	0.1407098649
422	0.1404197554
423	0.1402107317
424	0.1399673649
425	0.1396953787
426	0.1395879592
427	0.139366489
428	0.1390820344
429	0.1388568736
430	0.1386392813
431	0.1384409738
432	0.1382142253
433	0.1380661764
434	0.1379031573
435	0.1377678242
436	0.1375731498
437	0.1374030686
438	0.1372193625
439	0.137090323
440	0.1368939964
441	0.1367352196
442	0.1365616737
443	0.1364604317
444	0.1362238851
445	0.1359369009
446	0.1358289508
447	0.1357223583
448	0.1355049177
449	0.1352852347
450	0.1350159697
451	0.1347896663
452	0.1346871453
453	0.1345477159
454	0.1342833214
455	0.1341779999
456	0.1339809985
457	0.1337979074
458	0.133663967
459	0.1333897646
460	0.1332855015
461	0.1329169693
462	0.1327056378
463	0.1324912719
464	0.1322016429
465	0.1319972387
466	0.1318596657
467	0.1317170118
468	0.131519185
469	0.1313826981
470	0.1311238038
471	0.1309670497
472	0.1307511576
473	0.1305172453
474	0.1303744701
475	0.1301396087
476	0.1298594691
477	0.1296971804
478	0.1294320365
479	0.1292394451
480	0.1290215509
481	0.1289146293
482	0.1286915331
483	0.1284830468
484	0.1283568019
485	0.1281455757
486	0.1279663327
487	0.1277705419
488	0.1275469622
489	0.1274422685
490	0.1271240578
491	0.1269346467
492	0.1267928258
493	0.1266572288
494	0.1264785677
495	0.1263560955
496	0.1262431263
497	0.1260990448
498	0.1259571075
499	0.1257756625
500	0.1255321418
501	0.1253649218
502	0.1252683679
503	0.1251838956
504	0.1250601273
505	0.1249404985
506	0.1247389405
507	0.1245815733
508	0.1244588694
509	0.1242742311
510	0.1241597018
511	0.1239485801
512	0.123830374
513	0.1235746019
514	0.1233501797
515	0.1231780925
516	0.1229796595
517	0.1228996984
518	0.1227140428
519	0.1225401669
520	0.1222857969
521	0.1221843003
522	0.1221081967
523	0.1219538375
524	0.1216799144
525	0.1214495659
526	0.1213194501
527	0.1211373141
528	0.1209125124
529	0.1207017359
530	0.1205091777
531	0.1203200641
532	0.1201384324
533	0.1199893015
534	0.1197694775
535	0.1195914252
536	0.1193486453
537	0.1192439959
538	0.1189846657
539	0.1187995724
540	0.1186301508
541	0.118465678
542	0.1182912106
543	0.1181256913
544	0.1179629677
545	0.1178229616
546	0.1175430371
547	0.1173376832
548	0.1172294405
549	0.1170968144
550	0.1170228913
551	0.1167136247
552	0.1163679963
553	0.1162087683
554	0.1161085597
555	0.1159795302
556	0.1158177781
557	0.1156529833
558	0.1154685554
559	0.1152490224
560	0.1151401963
561	0.1150020264
562	0.1149080964
563	0.1146800248
564	0.1145785302
565	0.1144403029
566	0.1142200446
567	0.1139962167
568	0.1138744078
569	0.1137986381
570	0.1135466893
571	0.1133517943
572	0.1132357317
573	0.1130191492
574	0.1128208804
575	0.1126497937
576	0.112425915
577	0.1122797305
578	0.112116271
579	0.111910874
580	0.1117350271
581	0.1116715489
582	0.1114630945
583	0.1112933009
584	0.1111921111
585	0.1110134511
586	0.1108470961
587	0.110683588
588	0.1104496743
589	0.1103018632
590	0.110153401
591	0.1100242795
592	0.1098962405
593	0.1097729023
594	0.1096664855
595	0.1094394874
596	0.1093344659
597	0.1090711855
598	0.108941283
599	0.1087884815
600	0.108702707
601	0.1085329003
602	0.1083777515
603	0.1082059355
604	0.1080575404
605	0.1078255827
606	0.1077485708
607	0.1076772362
608	0.1075317024
609	0.1073666584
610	0.1072149229
611	0.1070453303
612	0.1069170142
613	0.1068404912
614	0.1067196385
615	0.1066732877
616	0.1065555984
617	0.1065001205
618	0.1064049513
619	0.1062834376
620	0.106187352
621	0.1060675222
622	0.1059779805
623	0.1058413235
624	0.1057282323
625	0.1055772544
626	0.1054511399
627	0.1052412681
628	0.1051782364
629	0.1050320885
630	0.104803671
631	0.1046200161
632	0.1044374062
633	0.1042838178
634	0.1041529456
635	0.1040052151
636	0.1038793581
637	0.1037482597
638	0.1036601777
639	0.1035434032
640	0.1033686229
641	0.1031916345
642	0.1030436823
643	0.1028981071
644	0.1027832823
645	0.1026862646
646	0.1026023638
647	0.1024283782
648	0.1023545232
649	0.1022614959
650	0.1021249182
651	0.1019235407
652	0.1017613494
653	0.1016198801
654	0.1015027879
655	0.1013135437
656	0.1012187729
657	0.1010434324
658	0.1009320742
659	0.100731008
660	0.100615874
661	0.1004878487
662	0.1004109831
663	0.1002411889
664	0.100133315
665	0.09999949184
666	0.09983996688
667	0.09968962852
668	0.09957878005
669	0.09949031127
670	0.09938370859
671	0.09920474247
672	0.09908651862
673	0.09896489187
674	0.09888612547
675	0.09876296827
676	0.09863674525
677	0.09849552234
678	0.09837258611
679	0.09824585016
680	0.09810786215
681	0.09802418893
682	0.09797212609
683	0.09787330185
684	0.09772212195
685	0.09759415312
686	0.09749170943
687	0.09741042677
688	0.09727364826
689	0.09713242269
690	0.09697658613
691	0.09693040622
692	0.09679573818
693	0.09670114077
694	0.09659936527
695	0.09648018493
696	0.09638093349
697	0.09613101355
698	0.09600568897
699	0.09590757421
700	0.09576233489
701	0.0956558348
702	0.09556882913
703	0.09547596406
704	0.09542521687
705	0.09534506714
706	0.09519829713
707	0.09500481369
708	0.09491912248
709	0.0947690503
710	0.09459430451
711	0.09440911915
712	0.09426530941
713	0.0941614567
714	0.09405009369
715	0.09389263229
716	0.09383566347
717	0.09364707013
718	0.09353989053
719	0.09337224877
720	0.09327131682
721	0.09311906251
722	0.0930105035
723	0.09288494101
724	0.09271299611
725	0.09258925481
726	0.09254759521
727	0.0924579781
728	0.09234321568
729	0.09232045041
730	0.09221235389
731	0.09211816747
732	0.09203391976
733	0.0918661779
734	0.09181899402
735	0.09172734808
736	0.09158970279
737	0.09150901623
738	0.09141018977
739	0.09126559787
740	0.091180754
741	0.09106182989
742	0.09095237931
743	0.09082715115
744	0.09078594689
745	0.09068421644
746	0.0905680571
747	0.09046187936
748	0.09037291891
749	0.09025626637
750	0.09024074617
751	0.09013064091
752	0.08995576142
753	0.0898002392
754	0.08972375145
755	0.08967884573
